year,state_po,county
2016,AL,Autauga
2016,AL,Baldwin
2016,AL,Barbour
2016,AL,Bibb
2016,AL,Blount
2016,AL,Bullock
2016,AL,Butler
2016,AL,Calhoun
2016,AL,Chambers
2016,AL,Cherokee
2016,AL,Chilton
2016,AL,Choctaw
2016,AL,Clarke
2016,AL,Clay
2016,AL,Cleburne
2016,AL,Coffee
2016,AL,Colbert
2016,AL,Conecuh
2016,AL,Coosa
2016,AL,Covington
2016,AL,Crenshaw
2016,AL,Cullman
2016,AL,Dale
2016,AL,Dallas
2016,AL,DeKalb
2016,AL,Elmore
2016,AL,Escambia
2016,AL,Etowah
2016,AL,Fayette
2016,AL,Franklin
2016,AL,Geneva
2016,AL,Greene
2016,AL,Hale
2016,AL,Henry
2016,AL,Houston
2016,AL,Jackson
2016,AL,Jefferson
2016,AL,Lamar
2016,AL,Lauderdale
2016,AL,Lawrence
2016,AL,Lee
2016,AL,Limestone
2016,AL,Lowndes
2016,AL,Macon
2016,AL,Madison
2016,AL,Marengo
2016,AL,Marion
2016,AL,Marshall
2016,AL,Mobile
2016,AL,Monroe
2016,AL,Montgomery
2016,AL,Morgan
2016,AL,Perry
2016,AL,Pickens
2016,AL,Pike
2016,AL,Randolph
2016,AL,Russell
2016,AL,St. Clair
2016,AL,Shelby
2016,AL,Sumter
2016,AL,Talladega
2016,AL,Tallapoosa
2016,AL,Tuscaloosa
2016,AL,Walker
2016,AL,Washington
2016,AL,Wilcox
2016,AL,Winston
2016,AK,District 1
2016,AK,District 2
2016,AK,District 3
2016,AK,District 4
2016,AK,District 5
2016,AK,District 6
2016,AK,District 7
2016,AK,District 8
2016,AK,District 9
2016,AK,District 10
2016,AK,District 11
2016,AK,District 12
2016,AK,District 13
2016,AK,District 14
2016,AK,District 15
2016,AK,District 16
2016,AK,District 17
2016,AK,District 18
2016,AK,District 19
2016,AK,District 20
2016,AK,District 21
2016,AK,District 22
2016,AK,District 23
2016,AK,District 24
2016,AK,District 25
2016,AK,District 26
2016,AK,District 27
2016,AK,District 28
2016,AK,District 29
2016,AK,District 30
2016,AK,District 31
2016,AK,District 32
2016,AK,District 33
2016,AK,District 34
2016,AK,District 35
2016,AK,District 36
2016,AK,District 37
2016,AK,District 38
2016,AK,District 39
2016,AK,District 40
2016,AZ,Apache
2016,AZ,Cochise
2016,AZ,Coconino
2016,AZ,Gila
2016,AZ,Graham
2016,AZ,Greenlee
2016,AZ,La Paz
2016,AZ,Maricopa
2016,AZ,Mohave
2016,AZ,Navajo
2016,AZ,Pima
2016,AZ,Pinal
2016,AZ,Santa Cruz
2016,AZ,Yavapai
2016,AZ,Yuma
2016,AR,Arkansas
2016,AR,Ashley
2016,AR,Baxter
2016,AR,Benton
2016,AR,Boone
2016,AR,Bradley
2016,AR,Calhoun
2016,AR,Carroll
2016,AR,Chicot
2016,AR,Clark
2016,AR,Clay
2016,AR,Cleburne
2016,AR,Cleveland
2016,AR,Columbia
2016,AR,Conway
2016,AR,Craighead
2016,AR,Crawford
2016,AR,Crittenden
2016,AR,Cross
2016,AR,Dallas
2016,AR,Desha
2016,AR,Drew
2016,AR,Faulkner
2016,AR,Franklin
2016,AR,Fulton
2016,AR,Garland
2016,AR,Grant
2016,AR,Greene
2016,AR,Hempstead
2016,AR,Hot Spring
2016,AR,Howard
2016,AR,Independence
2016,AR,Izard
2016,AR,Jackson
2016,AR,Jefferson
2016,AR,Johnson
2016,AR,Lafayette
2016,AR,Lawrence
2016,AR,Lee
2016,AR,Lincoln
2016,AR,Little River
2016,AR,Logan
2016,AR,Lonoke
2016,AR,Madison
2016,AR,Marion
2016,AR,Miller
2016,AR,Mississippi
2016,AR,Monroe
2016,AR,Montgomery
2016,AR,Nevada
2016,AR,Newton
2016,AR,Ouachita
2016,AR,Perry
2016,AR,Phillips
2016,AR,Pike
2016,AR,Poinsett
2016,AR,Polk
2016,AR,Pope
2016,AR,Prairie
2016,AR,Pulaski
2016,AR,Randolph
2016,AR,St. Francis
2016,AR,Saline
2016,AR,Scott
2016,AR,Searcy
2016,AR,Sebastian
2016,AR,Sevier
2016,AR,Sharp
2016,AR,Stone
2016,AR,Union
2016,AR,Van Buren
2016,AR,Washington
2016,AR,White
2016,AR,Woodruff
2016,AR,Yell
2016,CA,Alameda
2016,CA,Alpine
2016,CA,Amador
2016,CA,Butte
2016,CA,Calaveras
2016,CA,Colusa
2016,CA,Contra Costa
2016,CA,Del Norte
2016,CA,El Dorado
2016,CA,Fresno
2016,CA,Glenn
2016,CA,Humboldt
2016,CA,Imperial
2016,CA,Inyo
2016,CA,Kern
2016,CA,Kings
2016,CA,Lake
2016,CA,Lassen
2016,CA,Los Angeles
2016,CA,Madera
2016,CA,Marin
2016,CA,Mariposa
2016,CA,Mendocino
2016,CA,Merced
2016,CA,Modoc
2016,CA,Mono
2016,CA,Monterey
2016,CA,Napa
2016,CA,Nevada
2016,CA,Orange
2016,CA,Placer
2016,CA,Plumas
2016,CA,Riverside
2016,CA,Sacramento
2016,CA,San Benito
2016,CA,San Bernardino
2016,CA,San Diego
2016,CA,San Francisco
2016,CA,San Joaquin
2016,CA,San Luis Obispo
2016,CA,San Mateo
2016,CA,Santa Barbara
2016,CA,Santa Clara
2016,CA,Santa Cruz
2016,CA,Shasta
2016,CA,Sierra
2016,CA,Siskiyou
2016,CA,Solano
2016,CA,Sonoma
2016,CA,Stanislaus
2016,CA,Sutter
2016,CA,Tehama
2016,CA,Trinity
2016,CA,Tulare
2016,CA,Tuolumne
2016,CA,Ventura
2016,CA,Yolo
2016,CA,Yuba
2016,CO,Adams
2016,CO,Alamosa
2016,CO,Arapahoe
2016,CO,Archuleta
2016,CO,Baca
2016,CO,Bent
2016,CO,Boulder
2016,CO,Broomfield
2016,CO,Chaffee
2016,CO,Cheyenne
2016,CO,Clear Creek
2016,CO,Conejos
2016,CO,Costilla
2016,CO,Crowley
2016,CO,Custer
2016,CO,Delta
2016,CO,Denver
2016,CO,Dolores
2016,CO,Douglas
2016,CO,Eagle
2016,CO,Elbert
2016,CO,El Paso
2016,CO,Fremont
2016,CO,Garfield
2016,CO,Gilpin
2016,CO,Grand
2016,CO,Gunnison
2016,CO,Hinsdale
2016,CO,Huerfano
2016,CO,Jackson
2016,CO,Jefferson
2016,CO,Kiowa
2016,CO,Kit Carson
2016,CO,Lake
2016,CO,La Plata
2016,CO,Larimer
2016,CO,Las Animas
2016,CO,Lincoln
2016,CO,Logan
2016,CO,Mesa
2016,CO,Mineral
2016,CO,Moffat
2016,CO,Montezuma
2016,CO,Montrose
2016,CO,Morgan
2016,CO,Otero
2016,CO,Ouray
2016,CO,Park
2016,CO,Phillips
2016,CO,Pitkin
2016,CO,Prowers
2016,CO,Pueblo
2016,CO,Rio Blanco
2016,CO,Rio Grande
2016,CO,Routt
2016,CO,Saguache
2016,CO,San Juan
2016,CO,San Miguel
2016,CO,Sedgwick
2016,CO,Summit
2016,CO,Teller
2016,CO,Washington
2016,CO,Weld
2016,CO,Yuma
2016,CT,Fairfield
2016,CT,Hartford
2016,CT,Litchfield
2016,CT,Middlesex
2016,CT,New Haven
2016,CT,New London
2016,CT,Tolland
2016,CT,Windham
2016,DE,Kent
2016,DE,New Castle
2016,DE,Sussex
2016,DC,District of Columbia
2016,FL,Alachua
2016,FL,Baker
2016,FL,Bay
2016,FL,Bradford
2016,FL,Brevard
2016,FL,Broward
2016,FL,Calhoun
2016,FL,Charlotte
2016,FL,Citrus
2016,FL,Clay
2016,FL,Collier
2016,FL,Columbia
2016,FL,Desoto
2016,FL,Dixie
2016,FL,Duval
2016,FL,Escambia
2016,FL,Flagler
2016,FL,Franklin
2016,FL,Gadsden
2016,FL,Gilchrist
2016,FL,Glades
2016,FL,Gulf
2016,FL,Hamilton
2016,FL,Hardee
2016,FL,Hendry
2016,FL,Hernando
2016,FL,Highlands
2016,FL,Hillsborough
2016,FL,Holmes
2016,FL,Indian River
2016,FL,Jackson
2016,FL,Jefferson
2016,FL,Lafayette
2016,FL,Lake
2016,FL,Lee
2016,FL,Leon
2016,FL,Levy
2016,FL,Liberty
2016,FL,Madison
2016,FL,Manatee
2016,FL,Marion
2016,FL,Martin
2016,FL,Miami-Dade
2016,FL,Monroe
2016,FL,Nassau
2016,FL,Okaloosa
2016,FL,Okeechobee
2016,FL,Orange
2016,FL,Osceola
2016,FL,Palm Beach
2016,FL,Pasco
2016,FL,Pinellas
2016,FL,Polk
2016,FL,Putnam
2016,FL,St. Johns
2016,FL,St. Lucie
2016,FL,Santa Rosa
2016,FL,Sarasota
2016,FL,Seminole
2016,FL,Sumter
2016,FL,Suwannee
2016,FL,Taylor
2016,FL,Union
2016,FL,Volusia
2016,FL,Wakulla
2016,FL,Walton
2016,FL,Washington
2016,GA,Appling
2016,GA,Atkinson
2016,GA,Bacon
2016,GA,Baker
2016,GA,Baldwin
2016,GA,Banks
2016,GA,Barrow
2016,GA,Bartow
2016,GA,Ben Hill
2016,GA,Berrien
2016,GA,Bibb
2016,GA,Bleckley
2016,GA,Brantley
2016,GA,Brooks
2016,GA,Bryan
2016,GA,Bulloch
2016,GA,Burke
2016,GA,Butts
2016,GA,Calhoun
2016,GA,Camden
2016,GA,Candler
2016,GA,Carroll
2016,GA,Catoosa
2016,GA,Charlton
2016,GA,Chatham
2016,GA,Chattahoochee
2016,GA,Chattooga
2016,GA,Cherokee
2016,GA,Clarke
2016,GA,Clay
2016,GA,Clayton
2016,GA,Clinch
2016,GA,Cobb
2016,GA,Coffee
2016,GA,Colquitt
2016,GA,Columbia
2016,GA,Cook
2016,GA,Coweta
2016,GA,Crawford
2016,GA,Crisp
2016,GA,Dade
2016,GA,Dawson
2016,GA,Decatur
2016,GA,DeKalb
2016,GA,Dodge
2016,GA,Dooly
2016,GA,Dougherty
2016,GA,Douglas
2016,GA,Early
2016,GA,Echols
2016,GA,Effingham
2016,GA,Elbert
2016,GA,Emanuel
2016,GA,Evans
2016,GA,Fannin
2016,GA,Fayette
2016,GA,Floyd
2016,GA,Forsyth
2016,GA,Franklin
2016,GA,Fulton
2016,GA,Gilmer
2016,GA,Glascock
2016,GA,Glynn
2016,GA,Gordon
2016,GA,Grady
2016,GA,Greene
2016,GA,Gwinnett
2016,GA,Habersham
2016,GA,Hall
2016,GA,Hancock
2016,GA,Haralson
2016,GA,Harris
2016,GA,Hart
2016,GA,Heard
2016,GA,Henry
2016,GA,Houston
2016,GA,Irwin
2016,GA,Jackson
2016,GA,Jasper
2016,GA,Jeff Davis
2016,GA,Jefferson
2016,GA,Jenkins
2016,GA,Johnson
2016,GA,Jones
2016,GA,Lamar
2016,GA,Lanier
2016,GA,Laurens
2016,GA,Lee
2016,GA,Liberty
2016,GA,Lincoln
2016,GA,Long
2016,GA,Lowndes
2016,GA,Lumpkin
2016,GA,McDuffie
2016,GA,McIntosh
2016,GA,Macon
2016,GA,Madison
2016,GA,Marion
2016,GA,Meriwether
2016,GA,Miller
2016,GA,Mitchell
2016,GA,Monroe
2016,GA,Montgomery
2016,GA,Morgan
2016,GA,Murray
2016,GA,Muscogee
2016,GA,Newton
2016,GA,Oconee
2016,GA,Oglethorpe
2016,GA,Paulding
2016,GA,Peach
2016,GA,Pickens
2016,GA,Pierce
2016,GA,Pike
2016,GA,Polk
2016,GA,Pulaski
2016,GA,Putnam
2016,GA,Quitman
2016,GA,Rabun
2016,GA,Randolph
2016,GA,Richmond
2016,GA,Rockdale
2016,GA,Schley
2016,GA,Screven
2016,GA,Seminole
2016,GA,Spalding
2016,GA,Stephens
